Country name,Year,Pillar 1 Score,Pillar 2 Score,Pillar 3 Score,Total Index Average,Overall Rank,Overall Rank Rolling Avg (3y),Total Index Normalized,Pillar 1 Normalized,Pillar 1 Rank,Pillar 2 Normalized,Pillar 2 Rank,Pillar 3 Normalized,Pillar 3 Rank,Yes Votes,No Votes,Abstain Votes,Total Votes in Year
AFG,1946,,89.0139,64.2450,76.6294,46,46.0000,0.1625,,,0.3271,39,0.0632,41,5,1,5,11
AFG,1947,,86.2636,70.7575,78.5106,33,39.5000,0.1721,,,0.1362,32,0.1706,18,6,4,2,12
AFG,1948,,99.9434,90.5256,95.2345,25,34.6667,0.5366,,,0.7458,13,0.4641,15,13,1,2,16
AFG,1949,80.5556,99.9285,81.0581,87.1807,38,32.0000,0.4544,0.4601,22,0.7676,3,0.3096,30,11,1,5,17
AFG,1950,80.5556,97.0501,93.7028,90.4362,18,27.0000,0.6625,0.5072,16,0.6114,12,0.7266,6,16,0,2,18
AFG,1951,64.5833,77.5654,30.1610,57.4366,46,34.0000,0.0480,0.1139,26,0.0940,23,0.0000,13,1,0,4,5
AFG,1952,70.4167,97.9962,90.7172,86.3767,35,33.0000,0.4486,0.2700,27,0.6304,13,0.6486,16,22,0,6,28
AFG,1953,50.0000,93.8435,79.7348,74.5261,39,40.0000,0.1828,0.0000,6,0.3864,21,0.3723,13,7,0,4,11
AFG,1954,,88.8878,81.2893,85.0886,41,38.3333,0.2830,,,0.2638,34,0.3353,25,8,0,3,11
AFG,1955,,62.8950,55.9606,59.4278,37,39.0000,0.1124,,,0.0372,35,0.1588,18,2,1,3,6
AFG,1956,,91.4376,81.6961,86.5668,40,39.3333,0.2516,,,0.2216,39,0.2377,22,16,1,7,24
AFG,1957,73.3741,90.2341,79.8869,81.1650,60,45.6667,0.2390,0.1680,24,0.2745,49,0.2411,34,17,2,8,27
AFG,1958,64.2832,75.7551,53.0184,64.3523,72,57.3333,0.1249,0.0943,27,0.0698,53,0.0941,25,5,1,8,14
AFG,1959,77.6429,81.6704,69.9866,76.4333,71,67.6667,0.1706,0.3096,45,0.1433,61,0.0815,36,9,1,8,18
AFG,1960,73.1977,99.9034,93.4573,88.8528,51,64.6667,0.4915,0.2158,64,0.7702,7,0.6858,13,14,2,1,17
AFG,1961,75.3625,88.5423,74.8130,79.5726,86,69.3333,0.2768,0.3991,54,0.3468,73,0.2449,80,23,1,15,39
AFG,1962,72.8646,99.6809,90.9310,87.8255,51,62.6667,0.4844,0.4050,59,0.7199,20,0.5966,16,14,0,3,17
AFG,1963,72.4242,92.7173,91.0749,85.4055,86,74.3333,0.3916,0.3807,68,0.3244,70,0.4698,22,19,0,4,23
AFG,1965,,96.2185,94.3712,95.2949,19,52.0000,0.6780,,,0.5545,39,0.7048,12,22,1,4,27
AFG,1966,,93.2916,91.6228,92.4572,52,52.3333,0.5304,,,0.4618,64,0.5718,36,19,1,4,24
AFG,1967,,98.0181,92.1493,95.0837,25,32.0000,0.6733,,,0.6760,20,0.5942,27,23,2,2,27
AFG,1968,79.6429,96.1424,94.0376,89.9409,55,44.0000,0.5359,0.3531,86,0.5784,38,0.6676,17,24,1,2,27
AFG,1969,85.1515,98.3253,95.7022,93.0597,18,32.6667,0.6738,0.5472,52,0.7158,15,0.7985,5,31,1,1,33
AFG,1970,90.1020,98.4977,91.2292,93.2763,33,35.3333,0.6658,0.6253,32,0.7071,19,0.5382,58,30,2,3,35
AFG,1971,93.4191,98.6480,97.7424,96.6032,9,20.0000,0.7897,0.7526,10,0.6745,28,0.7484,20,72,0,3,75
AFG,1972,90.8048,95.7198,96.2380,94.2542,41,27.6667,0.6094,0.6722,20,0.4416,74,0.6126,37,76,0,6,82
AFG,1973,88.6752,95.7832,95.7337,93.3974,62,37.3333,0.5496,0.5995,43,0.4303,81,0.5639,40,66,0,6,72
AFG,1974,90.9856,97.2688,95.2522,94.5022,41,48.0000,0.6159,0.6090,45,0.5853,38,0.6237,38,50,1,4,55
AFG,1975,92.0995,99.2514,96.1529,95.8346,39,47.3333,0.6849,0.5887,51,0.7629,11,0.6793,42,64,0,5,69
AFG,1976,93.8886,99.9651,98.5341,97.4626,25,35.0000,0.7314,0.6226,42,0.8087,8,0.7223,7,88,0,2,90
AFG,1977,95.7996,98.8951,98.1340,97.6096,26,30.0000,0.7086,0.7689,19,0.6579,30,0.6881,26,88,1,2,91
AFG,1978,90.2184,90.3690,90.8140,90.4671,105,52.0000,0.3101,0.3663,95,0.1861,126,0.3453,99,85,3,16,104
AFG,1979,88.7601,93.6420,93.7771,92.0597,105,78.6667,0.3533,0.2947,104,0.3059,114,0.4649,93,120,4,13,137
AFG,1980,87.7240,88.2175,88.8097,88.2504,122,110.6667,0.2337,0.2792,119,0.1829,129,0.3321,107,77,14,7,98
AFG,1981,87.8926,89.7758,91.5937,89.7540,125,117.3333,0.2487,0.2558,121,0.1749,131,0.3891,100,100,10,10,120
AFG,1982,91.3619,91.0033,92.4714,91.6122,120,122.3333,0.2861,0.3138,112,0.1943,129,0.4019,109,131,9,14,154
AFG,1983,92.8216,92.2502,93.7212,92.9310,116,120.3333,0.3618,0.3731,101,0.2672,122,0.4671,86,126,7,11,144
AFG,1984,94.0982,93.4831,95.1764,94.2526,108,114.6667,0.4153,0.3917,98,0.3148,115,0.5249,85,128,9,4,141
AFG,1985,94.7287,93.1255,93.7595,93.8712,107,110.3333,0.4145,0.4207,96,0.3291,115,0.4889,93,131,11,7,149
AFG,1986,93.9826,95.4727,95.1860,94.8804,97,104.0000,0.4707,0.3974,100,0.4338,99,0.5355,83,134,4,10,148
AFG,1987,93.0565,95.9595,97.2817,95.4326,101,101.6667,0.4585,0.3269,113,0.4066,109,0.6033,62,130,3,4,137
AFG,1988,93.5181,98.4843,97.2653,96.4226,96,98.0000,0.5273,0.3357,114,0.6185,46,0.5928,53,127,1,6,134
AFG,1989,95.2412,97.8235,97.2920,96.7856,97,98.0000,0.5166,0.4279,108,0.5101,85,0.5658,54,109,2,4,115
AFG,1990,96.0151,98.8192,98.0978,97.6440,82,91.6667,0.5954,0.4822,96,0.5902,40,0.6047,20,82,0,3,85
AFG,1991,97.3249,99.2531,98.1849,98.2543,52,77.0000,0.6921,0.6776,35,0.6481,29,0.6560,29,65,1,1,67
AFG,1992,95.1825,98.6244,96.7911,96.8660,54,62.6667,0.6646,0.5347,82,0.6275,40,0.6648,40,69,1,3,73
AFG,1993,94.1919,99.0270,95.5308,96.2499,51,52.3333,0.6719,0.5164,78,0.7299,22,0.6939,39,52,2,1,55
AFG,1994,94.0671,99.0956,95.3070,96.1565,44,49.6667,0.6677,0.5476,73,0.7660,20,0.6561,48,53,2,3,58
AFG,1995,93.5939,97.0802,93.9866,94.8869,70,55.0000,0.5922,0.5508,74,0.5829,68,0.6016,65,62,2,5,69
AFG,1996,95.5357,97.4751,93.1227,95.3778,63,59.0000,0.6168,0.6751,36,0.5729,78,0.5551,88,55,3,3,61
AFG,1997,95.9670,97.4822,96.2392,96.5628,33,55.3333,0.6998,0.7047,27,0.5915,71,0.6920,29,57,2,2,61
AFG,1998,95.6158,98.6494,97.2194,97.1615,29,41.6667,0.7031,0.6955,45,0.6413,42,0.6901,21,39,1,1,41
AFG,1999,93.6947,98.0035,92.1765,94.6249,86,49.3333,0.5276,0.4836,90,0.5818,56,0.5025,85,22,2,2,26
AFG,2000,94.4944,98.2068,97.8919,96.8644,47,54.0000,0.6350,0.4916,87,0.5811,64,0.6953,14,30,1,0,31
AFG,2001,92.5855,99.9554,96.9943,96.5117,71,68.0000,0.6268,0.3933,114,0.7181,15,0.6857,24,37,1,1,39
AFG,2002,92.2603,97.3032,99.3135,96.2923,71,63.0000,0.6273,0.3886,128,0.5132,106,0.7932,1,40,0,0,40
AFG,2003,96.1653,99.8912,97.6543,97.9036,19,53.6667,0.7349,0.6564,32,0.7411,12,0.7060,19,56,2,0,58
AFG,2004,96.8296,99.8325,99.3050,98.6557,5,31.6667,0.7748,0.6977,24,0.7158,26,0.7706,2,59,0,0,59
