Country name,Period,Avg_Pillar_1_Score,Avg_Pillar_2_Score,Avg_Pillar_3_Score,Avg_Total_Index_Average,Avg_Overall_Rank,Avg_Overall_Rank_Rolling_Avg_(3y),Avg_Total_Index_Normalized,Avg_Pillar_1_Normalized,Avg_Pillar_1_Rank,Avg_Pillar_2_Normalized,Avg_Pillar_2_Rank,Avg_Pillar_3_Normalized,Avg_Pillar_3_Rank,Total_Yes_Votes,Total_No_Votes,Total_Abstain_Votes,Total_Total_Votes_in_Year
AFG,1945-1949,80.5556,93.7874,76.3175,84.2231,38.2500,40.7500,0.3060,0.4226,30.0000,0.4955,24.0000,0.2346,31.5000,35,7,14,56
AFG,1950-1954,66.3889,90.9694,75.0652,78.7205,39.2000,37.6667,0.3081,0.2158,27.0000,0.3860,25.0000,0.4077,17.6000,54,0,19,73
AFG,1955-1959,71.7667,79.7817,67.7321,73.1079,60.4000,53.9333,0.1657,0.1838,38.6667,0.1412,51.8000,0.1579,33.4000,49,6,34,89
AFG,1960-1964,68.5535,95.1642,87.6057,83.7745,75.5000,74.1667,0.3634,0.2594,66.5000,0.5326,45.5000,0.4868,34.7500,70,3,23,96
AFG,1965-1969,77.7901,96.4085,93.6254,92.5764,42.2000,49.1333,0.5949,0.3263,88.5000,0.5920,38.0000,0.6568,21.4000,119,6,13,138
AFG,1970-1974,88.8035,97.1801,95.2528,93.7455,38.6000,37.2000,0.6246,0.6128,33.6000,0.5612,50.0000,0.6122,40.8000,294,3,22,319
AFG,1975-1979,90.9984,96.4232,95.4884,94.3033,62.2000,51.2000,0.5386,0.4913,68.0000,0.5404,58.8000,0.5815,53.8000,445,8,38,491
AFG,1980-1984,90.0308,90.9454,92.3552,91.1104,119.8000,119.0000,0.3021,0.3100,111.8000,0.2214,127.4000,0.4130,99.0000,562,49,46,657
AFG,1985-1989,93.4210,96.1731,96.1617,95.2520,101.2000,104.0000,0.4604,0.3557,111.6000,0.4562,92.2000,0.5542,72.0000,631,21,31,683
AFG,1990-1994,95.1788,98.9664,96.8722,97.0058,55.2000,65.1333,0.6481,0.5464,74.0000,0.6648,31.2000,0.6522,37.6000,321,6,11,338
AFG,1995-1999,94.5692,97.7381,94.6136,95.6403,60.0000,56.0000,0.6095,0.5994,62.8000,0.5823,68.6000,0.5985,59.8000,235,10,13,258
AFG,2000-2004,94.4342,99.0528,98.3225,97.2698,42.4000,54.0667,0.6742,0.5399,75.4000,0.6492,47.2000,0.7364,13.8000,222,4,1,227
AFG,2005-2009,97.6321,98.0151,97.6741,97.7738,22.8000,19.5333,0.7305,0.7865,16.0000,0.5623,85.8000,0.7244,20.6000,363,9,2,374
AFG,2010-2014,97.3090,98.2569,97.5059,97.6906,18.6000,18.7333,0.7461,0.7349,12.2000,0.6184,63.6000,0.7181,29.8000,327,9,7,343
AFG,2015-2019,96.8472,99.3682,97.5344,97.9166,16.0000,16.4667,0.7615,0.7101,31.8000,0.7609,18.6000,0.7317,33.2000,398,9,7,414
AFG,2020-2024,96.8166,98.0213,98.4741,97.7707,13.5000,17.8333,0.7720,0.7334,28.5000,0.6531,55.2500,0.8059,9.5000,271,3,3,277
AGO,1975-1979,88.5648,97.2485,96.9421,96.4605,49.2500,25.1666,0.6879,0.2879,101.0000,0.5857,56.0000,0.6572,40.7500,237,3,20,260
AGO,1980-1984,90.1162,96.5860,96.2281,94.3102,91.0000,94.5333,0.4729,0.3140,112.0000,0.5118,81.6000,0.6034,60.4000,586,19,23,628
AGO,1985-1989,95.2332,95.9746,95.7179,95.6418,95.8000,92.2000,0.4870,0.4774,87.8000,0.4252,105.0000,0.5219,82.6000,602,14,43,659
AGO,1990-1994,94.5575,96.2013,95.2877,95.3488,88.2000,88.0000,0.5445,0.4913,91.0000,0.4634,91.4000,0.5790,59.6000,269,3,19,291
AGO,1995-1999,90.0677,96.8153,94.4715,93.7848,92.2000,99.7333,0.5029,0.3662,115.0000,0.5110,91.6000,0.5908,61.0000,250,5,21,276
AGO,2000-2004,94.1735,98.0099,96.9808,96.3880,63.2000,69.4667,0.6194,0.5140,82.8000,0.5700,76.2000,0.6761,32.0000,401,0,20,421
AGO,2005-2009,94.4941,97.9634,95.6361,96.0312,79.6000,75.2667,0.5978,0.5277,93.6000,0.5623,76.4000,0.6215,59.0000,291,1,21,313
AGO,2010-2014,94.9874,98.1156,96.1542,96.4190,63.8000,63.2667,0.6427,0.5629,74.8000,0.6113,63.6000,0.6500,57.2000,302,1,27,330
AGO,2015-2019,92.8182,98.8324,96.9699,96.2068,72.4000,69.6667,0.6353,0.4519,118.0000,0.7108,37.2000,0.7043,43.2000,508,2,32,542
AGO,2020-2024,94.6455,98.2017,94.7697,95.8723,61.6000,65.8667,0.6444,0.5602,79.0000,0.6753,45.2000,0.6347,68.0000,373,1,41,415
AGO,2025-2029,88.0782,99.9225,89.6883,92.5630,83.0000,58.3333,0.5331,0.5327,75.0000,0.7229,11.0000,0.4004,10.0000,8,0,2,10
ALB,1955-1959,77.7857,59.1829,59.3989,60.4749,72.5000,68.2917,0.0065,0.3059,50.0000,0.0000,65.2500,0.0389,41.0000,36,35,12,83
ALB,1960-1964,67.4158,69.1158,77.4452,71.3256,96.0000,90.0833,0.1286,0.2265,70.5000,0.0307,88.5000,0.2301,54.2500,53,29,10,92
ALB,1965-1969,81.6667,61.9285,62.4936,68.0692,110.8000,107.1333,0.1356,0.4749,68.0000,0.0751,109.4000,0.1624,85.0000,33,18,1,52
ALB,1970-1974,75.8222,88.7017,88.4319,84.3186,112.6000,115.9333,0.2725,0.2442,108.8000,0.2097,111.6000,0.3512,76.0000,164,26,7,197
ALB,1975-1979,88.4498,84.8568,88.7435,87.3500,121.8000,117.5333,0.2135,0.3865,89.2000,0.0700,129.8000,0.2802,94.6000,200,46,0,246
ALB,1980-1984,91.5824,90.4073,96.3817,92.7905,105.2000,111.9333,0.3880,0.4263,91.6000,0.2033,129.6000,0.6139,56.0000,333,21,0,354
ALB,1985-1989,97.1184,85.3017,97.1572,93.1924,118.0000,112.0667,0.3176,0.6444,47.2000,0.0634,140.0000,0.6232,48.6000,447,21,0,468
ALB,1990-1994,84.1038,90.5724,80.7952,85.1571,154.6000,145.8000,0.1650,0.2203,118.8000,0.2391,122.2000,0.2366,104.6000,205,10,74,289
ALB,1995-1999,88.0792,97.4464,83.1874,89.5710,143.2000,144.1333,0.3087,0.2724,147.4000,0.5635,70.2000,0.2314,128.4000,213,35,63,311
ALB,2000-2004,87.0896,94.8260,74.5988,85.5048,173.6000,170.3333,0.1924,0.2145,158.0000,0.3789,129.0000,0.1305,140.8000,161,55,68,284
ALB,2005-2009,86.2945,95.3724,77.5895,86.4188,167.6000,173.3333,0.2041,0.1668,172.4000,0.4847,90.8000,0.1481,141.6000,236,59,87,382
ALB,2010-2014,89.7584,98.0257,79.2221,89.0021,163.4000,162.8667,0.2605,0.2923,167.0000,0.6033,64.8000,0.1600,145.6000,224,55,77,356
ALB,2015-2019,88.7459,98.4691,77.5320,88.2490,153.4000,151.4667,0.2628,0.2576,166.6000,0.6621,50.8000,0.1487,152.4000,275,79,99,453
ALB,2020-2024,89.2140,96.9947,81.3419,89.1835,147.2000,148.3333,0.3152,0.2467,172.0000,0.5813,77.0000,0.2440,141.0000,365,97,79,541
ALB,2025-2029,82.2915,94.9026,94.9632,90.7191,109.0000,133.3333,0.4557,0.3522,145.0000,0.4552,41.0000,0.5567,3.0000,9,0,1,10
AND,1990-1994,,93.9463,76.2823,85.1144,149.0000,161.5000,0.2234,,,0.3609,122.5000,0.1293,142.0000,51,8,21,80
AND,1995-1999,87.2111,99.2852,82.5885,90.0225,137.8000,139.8000,0.3273,0.2449,150.0000,0.7331,24.0000,0.2118,133.4000,230,37,77,344
AND,2000-2004,91.6316,98.7607,82.5668,90.9864,134.2000,132.4667,0.3500,0.3715,125.8000,0.6181,51.6000,0.2431,118.0000,242,48,70,360
AND,2005-2009,90.9519,99.2300,81.6616,90.6145,139.4000,137.0667,0.3090,0.3239,132.2000,0.6852,34.6000,0.1891,134.8000,261,56,79,396
AND,2010-2014,90.8039,98.2457,79.2434,89.4310,157.0000,155.4667,0.2739,0.3334,149.8000,0.6164,60.4000,0.1598,145.8000,225,51,82,358
AND,2015-2019,89.4460,95.7364,79.4642,88.2156,153.6000,155.1333,0.2622,0.2833,158.8000,0.4351,125.0000,0.1783,143.4000,293,53,111,457
AND,2020-2024,91.8931,95.5892,84.6093,90.6972,127.2000,133.4000,0.3680,0.3889,128.0000,0.4621,115.6000,0.2963,128.6000,305,58,72,435
AND,2025-2029,87.2790,99.9418,99.5132,95.5780,37.0000,93.6667,0.6843,0.5066,89.0000,0.7241,9.0000,0.7291,1.0000,9,0,0,9
ARE,1970-1974,87.3823,98.3877,97.3158,97.2198,17.5000,7.5000,0.8156,0.5128,63.0000,0.6541,31.7500,0.7143,21.5000,232,1,11,244
ARE,1975-1979,94.6525,99.1614,97.9818,97.2652,22.0000,27.1333,0.7372,0.6964,31.0000,0.7332,21.6000,0.7388,20.0000,474,1,17,492
ARE,1980-1984,96.3721,99.5504,98.0264,97.9829,15.6000,16.2000,0.7793,0.6768,35.8000,0.7731,11.6000,0.7155,22.2000,677,3,20,700
ARE,1985-1989,97.6627,99.3591,97.9616,98.3278,25.2000,16.4000,0.7542,0.6973,28.6000,0.7352,19.4000,0.6682,32.4000,698,5,20,723
ARE,1990-1994,97.7307,99.7630,98.3838,98.6258,19.6000,30.6000,0.7778,0.7425,40.6000,0.7534,9.6000,0.7489,10.8000,352,1,1,354
ARE,1995-1999,95.8243,98.1476,96.2595,96.7438,34.0000,27.5333,0.6850,0.6761,36.2000,0.6187,58.2000,0.6768,36.2000,325,1,22,348
ARE,2000-2004,95.0641,98.3123,95.8925,96.4229,68.8000,61.6000,0.6208,0.5682,65.8000,0.5974,66.6000,0.6300,55.4000,317,5,25,347
ARE,2005-2009,96.3547,98.0360,95.4392,96.6100,64.8000,63.9333,0.6377,0.6704,48.8000,0.5548,90.0000,0.6074,69.2000,362,3,34,399
ARE,2010-2014,95.0435,98.4770,96.5996,96.7067,54.2000,60.3333,0.6644,0.5639,79.4000,0.6367,56.6000,0.6709,46.2000,329,3,25,357
ARE,2015-2019,95.8691,99.0885,96.4717,97.1431,43.8000,47.0667,0.7001,0.6322,54.4000,0.7297,28.4000,0.6764,56.0000,422,2,35,459
ARE,2020-2024,95.0917,98.4025,94.3644,95.9529,54.0000,43.2000,0.6495,0.5953,65.4000,0.6945,41.2000,0.6227,66.4000,484,4,51,539
ARE,2025-2029,80.2289,99.7358,83.1952,87.7199,143.0000,97.0000,0.3505,0.2923,160.0000,0.7108,19.0000,0.2594,19.0000,7,0,3,10
ARG,1945-1949,89.9182,93.3492,92.2203,92.5968,23.7500,26.1250,0.5431,0.6739,11.0000,0.3984,32.5000,0.5906,14.7500,95,3,13,111
ARG,1950-1954,73.5688,85.5001,84.8432,82.0824,39.6000,35.0000,0.3308,0.3805,17.0000,0.1800,38.8000,0.4395,18.4000,55,1,18,74
ARG,1955-1959,98.4954,98.0724,97.3704,97.9912,6.0000,13.8667,0.7908,0.8183,2.3333,0.6393,17.4000,0.7981,2.4000,85,0,5,90
ARG,1960-1964,85.6877,96.4090,90.5590,90.8852,34.0000,23.2500,0.6172,0.7084,16.7500,0.5547,38.5000,0.5833,25.7500,102,1,19,122
ARG,1965-1969,82.6172,93.7086,92.4493,91.9440,47.6000,43.0667,0.5765,0.5077,56.5000,0.4831,61.4000,0.6121,34.8000,137,5,21,163
ARG,1970-1974,88.8685,94.1100,91.5089,91.4958,67.2000,68.1333,0.5082,0.6151,34.2000,0.3990,89.8000,0.4404,67.8000,299,3,56,358
ARG,1975-1979,92.9926,95.3573,93.8170,94.0556,78.0000,75.8667,0.5021,0.5915,53.4000,0.4052,91.2000,0.4794,75.4000,429,9,48,486
ARG,1980-1984,94.9912,94.7690,93.7039,94.4880,90.4000,87.6000,0.4775,0.5702,64.8000,0.3873,106.8000,0.4705,90.8000,615,13,74,702
ARG,1985-1989,97.2964,96.0862,96.1940,96.5255,78.2000,80.8667,0.5655,0.6617,40.6000,0.4339,101.8000,0.5485,74.2000,679,0,55,734
ARG,1990-1994,88.5492,84.3783,84.9763,85.9679,147.2000,133.7333,0.2178,0.2433,121.6000,0.1252,144.0000,0.2716,100.0000,323,10,99,432
ARG,1995-1999,92.1399,89.1662,89.0279,90.1113,139.0000,145.3333,0.3311,0.4510,98.8000,0.1628,154.2000,0.3759,108.2000,384,5,97,486
ARG,2000-2004,94.7154,90.1731,90.1424,91.6769,125.4000,122.2667,0.3794,0.5533,64.0000,0.1931,152.6000,0.4246,97.0000,336,2,72,410
ARG,2005-2009,92.7478,95.4328,95.7493,94.6433,108.6000,112.6000,0.5048,0.4156,120.2000,0.3629,134.0000,0.6235,65.0000,512,1,42,555
ARG,2010-2014,95.5846,96.7260,96.3637,96.2248,65.6000,81.6000,0.6323,0.6026,59.6000,0.5049,99.2000,0.6618,54.2000,436,2,31,469
ARG,2015-2019,97.5836,95.8600,95.6310,96.3582,69.8000,58.0667,0.6463,0.7778,15.8000,0.4435,122.4000,0.6370,73.6000,412,0,48,460
ARG,2020-2024,94.1993,88.6994,88.7340,90.5442,87.2000,74.9333,0.5154,0.6474,47.0000,0.3580,133.4000,0.5127,89.8000,361,31,46,438
ARG,2025-2029,68.7630,30.8528,31.5179,43.7113,186.0000,146.6667,0.0000,0.0000,178.0000,0.0000,105.0000,0.0000,35.0000,1,1,3,5
ARM,1990-1994,,86.7930,86.3084,86.5507,153.0000,138.1667,0.2389,,,0.1480,159.0000,0.3030,118.6667,117,7,37,161
ARM,1995-1999,89.9260,84.0768,84.6290,86.2106,167.8000,169.1333,0.2067,0.3476,124.4000,0.0678,163.6000,0.2537,124.0000,247,14,85,346
ARM,2000-2004,92.5762,88.5265,89.7614,90.2880,144.8000,146.8667,0.3244,0.4196,108.8000,0.1461,157.8000,0.4141,98.0000,288,10,59,357
ARM,2005-2009,92.9119,88.2417,89.5128,90.2221,149.0000,150.0000,0.2929,0.4224,116.4000,0.0950,164.2000,0.3718,113.4000,314,13,67,394
ARM,2010-2014,92.8216,85.7106,87.3058,88.6127,166.0000,162.9333,0.2476,0.4298,122.8000,0.0846,172.8000,0.3241,116.8000,262,14,70,346
ARM,2015-2019,93.3908,82.5543,83.5421,86.4957,167.4000,168.1333,0.2145,0.4708,112.0000,0.0483,177.0000,0.2474,132.4000,309,17,118,444
ARM,2020-2024,93.6499,82.0818,82.9642,86.2320,176.0000,173.6000,0.2178,0.4941,101.0000,0.0528,180.4000,0.2596,135.8000,286,9,119,414
ARM,2025-2029,80.6972,86.8427,93.7297,87.0898,147.0000,163.6667,0.3314,0.3057,158.0000,0.2053,76.0000,0.5163,6.0000,7,0,1,8
ATG,1980-1984,83.1414,96.8268,95.5795,94.9986,77.0000,81.0833,0.5211,0.0248,149.0000,0.5120,81.2500,0.5737,56.7500,208,8,5,221
ATG,1985-1989,93.6859,96.0639,94.9698,94.9065,104.4000,98.4000,0.4301,0.3826,107.2000,0.4277,103.2000,0.4779,90.2000,623,3,66,692
ATG,1990-1994,95.5202,97.0107,95.5627,96.0312,83.2000,87.8000,0.5773,0.5685,65.8000,0.4893,85.6000,0.5792,58.4000,289,0,35,324
ATG,1995-1999,91.3746,96.5789,96.2430,94.7322,79.0000,80.1333,0.5506,0.4095,106.8000,0.5051,87.4000,0.6768,40.4000,306,1,31,338
ATG,2000-2004,95.8402,97.2446,96.5465,96.5438,57.0000,66.8667,0.6294,0.6305,49.0000,0.5129,91.0000,0.6564,41.6000,268,0,18,286
ATG,2005-2009,98.0492,98.2397,96.8279,97.7056,26.2000,31.2667,0.7253,0.8327,9.6000,0.5830,67.0000,0.6784,40.8000,362,2,22,386
ATG,2010-2014,95.9195,96.8996,96.1502,96.3231,67.2000,55.2667,0.6362,0.6276,50.2000,0.5043,105.8000,0.6513,59.0000,316,2,19,337
ATG,2015-2019,96.8962,98.1996,97.7639,97.6199,27.0000,38.0000,0.7361,0.7108,29.4000,0.6375,63.0000,0.7430,28.4000,398,1,10,409
ATG,2020-2024,96.3893,97.8943,97.6014,97.2950,18.4000,19.0000,0.7481,0.7007,35.4000,0.6436,59.0000,0.7724,16.2000,350,3,12,365
ATG,2025-2029,88.9785,94.4338,94.4209,92.6111,82.0000,34.3333,0.5352,0.5624,64.0000,0.4355,44.0000,0.5386,4.0000,8,0,1,9
AUS,1945-1949,90.9178,99.5977,89.7324,94.3384,16.5000,19.5833,0.6256,0.7032,9.0000,0.7469,8.0000,0.5083,19.5000,83,9,15,107
AUS,1950-1954,80.4459,99.3089,64.5840,81.2612,43.2000,36.9333,0.2668,0.4194,23.5000,0.7073,10.2000,0.1336,29.6000,29,19,26,74
AUS,1955-1959,81.6540,99.5598,87.7344,91.0524,30.8000,32.0667,0.5427,0.3714,25.0000,0.7527,9.4000,0.5186,17.4000,82,7,15,104
AUS,1960-1964,79.3855,99.6387,77.1311,85.3851,65.2500,59.6666,0.4170,0.5376,38.2500,0.7502,10.0000,0.2693,48.7500,60,8,27,95
AUS,1965-1969,72.0624,99.7403,64.5945,81.0784,105.0000,93.6000,0.2388,0.1042,112.5000,0.7681,10.4000,0.0788,92.0000,61,31,48,140
AUS,1970-1974,80.2251,98.0321,84.8217,87.6929,94.4000,101.4667,0.3667,0.3455,98.2000,0.6260,33.6000,0.2951,83.6000,281,20,67,368
AUS,1975-1979,83.7586,89.0025,78.2870,83.6826,129.2000,116.9333,0.1474,0.1826,120.2000,0.2151,113.2000,0.0876,114.8000,308,51,146,505
AUS,1980-1984,86.5848,75.5710,66.7957,76.3172,148.0000,146.6667,0.0264,0.1721,138.4000,0.0174,144.2000,0.0203,132.2000,346,96,270,712
AUS,1985-1989,91.0619,81.9683,78.3147,83.7816,143.0000,144.3333,0.0589,0.2420,132.4000,0.0373,144.6000,0.0616,123.0000,452,73,208,733
AUS,1990-1994,89.9385,88.9687,81.7623,86.8898,142.4000,141.3333,0.1941,0.2401,123.4000,0.1893,132.8000,0.1702,105.8000,238,29,95,362
AUS,1995-1999,89.2022,92.9744,85.5819,89.2528,145.0000,141.9333,0.3011,0.3122,133.6000,0.2912,138.2000,0.2887,116.6000,263,29,70,362
AUS,2000-2004,90.4146,86.4385,74.2509,83.7013,174.4000,170.1333,0.1729,0.3260,139.0000,0.1421,157.6000,0.1401,139.4000,201,61,96,358
AUS,2005-2009,89.3733,85.1086,70.8945,81.7921,185.0000,184.8667,0.0972,0.2591,152.8000,0.0553,169.8000,0.0651,152.8000,209,110,81,400
AUS,2010-2014,89.4871,85.3258,78.9576,84.5902,181.4000,183.3333,0.1530,0.2843,170.2000,0.0817,171.6000,0.1741,141.4000,307,93,69,469
