Country Name,Country Code,Year,GDP_per_capita,Population
Afghanistan,AFG,2023,1992.4244,41454761.0
Albania,ALB,2023,18244.293,2745972.0
Algeria,DZA,2023,15159.324,46164219.0
Andorra,AND,2023,64631.297,80856.0
Angola,AGO,2023,7244.893,36749906.0
Antigua and Barbuda,ATG,2023,28967.256,93316.0
Argentina,ARG,2023,27104.98,45538401.0
Armenia,ARM,2023,19230.19,2990900.0
Aruba,ABW,2023,40516.81,107359.0
Australia,AUS,2023,59552.88,26658948.0
Austria,AUT,2023,65015.133,9131761.0
Azerbaijan,AZE,2023,21262.299,10153958.0
Bahamas,BHS,2023,33105.605,399440.0
Bahrain,BHR,2023,57213.09,1577059.0
Bangladesh,BGD,2023,8242.398,171466990.0
Barbados,BRB,2023,19224.463,282336.0
Belarus,BLR,2023,27718.322,9178298.0
Belgium,BEL,2023,64185.848,11787423.0
Belize,BLZ,2023,12455.296,411106.0
Benin,BEN,2023,3721.2246,14111034.0
Bermuda,BMU,2023,98041.69,64698.0
Bolivia,BOL,2023,9843.97,12244159.0
Bosnia and Herzegovina,BIH,2023,20126.38,3185073.0
Botswana,BWA,2023,18846.25,2480244.0
Brazil,BRA,2023,19018.238,211140729.0
Brunei,BRN,2023,76828.4,458949.0
Bulgaria,BGR,2023,33403.375,6446596.0
Burkina Faso,BFA,2023,2482.0723,23025776.0
Burundi,BDI,2023,828.8611,13689450.0
Cambodia,KHM,2023,6690.5894,17423880.0
Cameroon,CMR,2023,4870.571,28372687.0
Canada,CAN,2023,55918.93,40097761.0
Cape Verde,CPV,2023,9288.402,522331.0
Cayman Islands,CYM,2023,78109.35,73038.0
Central African Republic,CAF,2023,1135.1362,5152421.0
Chad,TCD,2023,1679.4615,19319064.0
Chile,CHL,2023,29462.64,19658835.0
China,CHN,2023,22137.6,1410710000.0
Colombia,COL,2023,18692.385,52321152.0
Comoros,COM,2023,3498.8032,850387.0
Congo,COG,2023,6172.2876,6182885.0
Costa Rica,CRI,2023,26292.771,5105525.0
Cote d'Ivoire,CIV,2023,6485.316,31165654.0
Croatia,HRV,2023,41116.87,3859686.0
Curacao,CUW,2023,28886.688,147862.0
Cyprus,CYP,2023,53420.684,1344976.0
Czechia,CZE,2023,49681.06,10864042.0
Democratic Republic of Congo,COD,2023,1455.8356,105789731.0
Denmark,DNK,2023,72097.305,5946952.0
Djibouti,DJI,2023,6400.62,1152944.0
Dominica,DMA,2023,17420.252,66510.0
Dominican Republic,DOM,2023,23087.934,11331265.0
East Timor,TLS,2023,4328.508,1384286.0
Ecuador,ECU,2023,14472.316,17980083.0
Egypt,EGY,2023,16691.133,114535772.0
El Salvador,SLV,2023,11404.334,6309624.0
Equatorial Guinea,GNQ,2023,15688.238,1847549.0
Estonia,EST,2023,42471.824,1370286.0
Eswatini,SWZ,2023,10132.1875,1230506.0
Ethiopia,ETH,2023,2755.457,128691692.0
Fiji,FJI,2023,13652.491,924145.0
Finland,FIN,2023,57063.523,5583911.0
France,FRA,2023,55441.188,68287487.0
Gabon,GAB,2023,18702.691,2484789.0
Gambia,GMB,2023,2932.2805,2697845.0
Georgia,GEO,2023,22590.53,3715483.0
Germany,DEU,2023,63578.14,83280000.0
Ghana,GHA,2023,6796.4736,33787914.0
Greece,GRC,2023,36905.453,10405588.0
Grenada,GRD,2023,16946.473,117081.0
Guatemala,GTM,2023,12389.386,18124838.0
Guinea,GIN,2023,3949.34,14405468.0
Guinea-Bissau,GNB,2023,2578.8044,2153339.0
Guyana,GUY,2023,49315.16,826353.0
Haiti,HTI,2023,2956.4622,11637398.0
Honduras,HND,2023,6468.302,10644851.0
Hong Kong,HKG,2023,64467.574,7536100.0
Hungary,HUN,2023,40543.992,9592186.0
Iceland,ISL,2023,67255.67,393349.0
India,IND,2023,9160.063,1438069596.0
Indonesia,IDN,2023,13889.883,281190067.0
Iran,IRN,2023,15912.03,90608707.0
Iraq,IRQ,2023,12711.062,45074049.0
Ireland,IRL,2023,114922.39,5307600.0
Israel,ISR,2023,48432.11,9756600.0
Italy,ITA,2023,53312.07,58993475.0
Jamaica,JAM,2023,10291.3125,2839786.0
Japan,JPN,2023,46157.637,124516650.0
Jordan,JOR,2023,9362.588,11439213.0
Kazakhstan,KAZ,2023,34703.234,20330104.0
Kenya,KEN,2023,5682.9893,55339003.0
Kiribati,KIR,2023,3195.8704,132530.0
Kuwait,KWT,2023,46458.2,4853420.0
Kyrgyzstan,KGZ,2023,6403.143,7099750.0
Laos,LAO,2023,8372.156,7664993.0
Latvia,LVA,2023,37007.367,1877445.0
Lesotho,LSO,2023,2595.8296,2311472.0
Liberia,LBR,2023,1616.9237,5493031.0
Libya,LBY,2023,12478.144,7305659.0
Lithuania,LTU,2023,46740.41,2871585.0
Luxembourg,LUX,2023,132846.58,666430.0
Macao,MAC,2023,104961.64,678800.0
Madagascar,MDG,2023,1643.3093,31195932.0
Malawi,MWI,2023,1648.4365,21104482.0
Malaysia,MYS,2023,32812.3,35126298.0
Maldives,MDV,2023,22286.98,525994.0
Mali,MLI,2023,2394.672,23769127.0
Malta,MLT,2023,61125.71,552747.0
Marshall Islands,MHL,2023,6786.696,38827.0
Mauritania,MRT,2023,6258.711,5022441.0
Mauritius,MUS,2023,26590.424,1261041.0
Mexico,MEX,2023,22142.607,129739759.0
Micronesia (country),FSM,2023,3886.6965,112630.0
Moldova,MDA,2023,15855.273,2457783.0
Mongolia,MNG,2023,16222.864,3481145.0
Montenegro,MNE,2023,27869.65,616177.0
Morocco,MAR,2023,8868.712,37712505.0
Mozambique,MOZ,2023,1511.6365,33635160.0
Myanmar,MMR,2023,5364.138,54133798.0
Namibia,NAM,2023,10105.515,2963095.0
Nauru,NRU,2023,12462.841,11875.0
Nepal,NPL,2023,4859.8003,29694614.0
Netherlands,NLD,2023,71446.695,17877117.0
New Zealand,NZL,2023,48826.574,5223100.0
Nicaragua,NIC,2023,7486.943,6823613.0
Niger,NER,2023,1703.397,26159867.0
Nigeria,NGA,2023,5593.0566,227882945.0
North Macedonia,MKD,2023,23584.564,1827816.0
Norway,NOR,2023,90469.81,5519594.0
Oman,OMN,2023,38311.418,5049269.0
Pakistan,PAK,2023,5439.1875,247504495.0
Palau,PLW,2023,15796.54,17727.0
Palestine,PSE,2023,5313.098,5165775.0
Panama,PAN,2023,35863.88,4458759.0
Papua New Guinea,PNG,2023,4174.4414,10389635.0
Paraguay,PRY,2023,15783.115,6844146.0
Peru,PER,2023,15294.257,33845617.0
Philippines,PHL,2023,9901.057,114891199.0
Poland,POL,2023,44384.168,36687353.0
Portugal,PRT,2023,41755.48,10578174.0
Puerto Rico,PRI,2023,42994.785,3205691.0
Qatar,QAT,2023,116159.14,2656032.0
Romania,ROU,2023,40665.527,19059479.0
Russia,RUS,2023,39753.457,143826130.0
Rwanda,RWA,2023,3060.029,13954471.0
Saint Kitts and Nevis,KNA,2023,30409.404,46758.0
Saint Lucia,LCA,2023,23403.46,179285.0
Saint Vincent and the Grenadines,VCT,2023,18335.213,101323.0
Samoa,WSM,2023,6304.346,216663.0
Sao Tome and Principe,STP,2023,5541.302,230871.0
Saudi Arabia,SAU,2023,55055.4,33264292.0
Senegal,SEN,2023,4317.2266,18077573.0
Serbia,SRB,2023,26030.021,6623183.0
Seychelles,SYC,2023,29468.951,119773.0
Sierra Leone,SLE,2023,3034.219,8460512.0
Singapore,SGP,2023,127543.555,5917648.0
Sint Maarten (Dutch part),SXM,2023,44894.695,42749.0
Slovakia,SVK,2023,39290.434,5426740.0
Slovenia,SVN,2023,48243.94,2120461.0
Solomon Islands,SLB,2023,2534.0276,800005.0
Somalia,SOM,2023,1402.47,18358615.0
South Africa,ZAF,2023,13690.39,63212384.0
South Korea,KOR,2023,50572.25,51712619.0
Spain,ESP,2023,47141.543,48347910.0
Sri Lanka,LKA,2023,13029.524,22037000.0
Sudan,SDN,2023,2469.1946,50042791.0
Suriname,SUR,2023,19043.705,628886.0
Sweden,SWE,2023,63114.68,10536632.0
Switzerland,CHE,2023,82557.55,8888093.0
Tajikistan,TJK,2023,4472.324,10389799.0
Tanzania,TZA,2023,3620.7935,66617606.0
Thailand,THA,2023,21142.664,71702435.0
Togo,TGO,2023,2767.5166,9304337.0
Trinidad and Tobago,TTO,2023,31705.834,1367510.0
Tunisia,TUN,2023,12552.986,12200431.0
Turkey,TUR,2023,34609.914,85325965.0
Turkmenistan,TKM,2023,17866.404,7364438.0
Turks and Caicos Islands,TCA,2023,22305.66,46198.0
Tuvalu,TUV,2023,5812.393,9816.0
Uganda,UGA,2023,2791.0557,48656601.0
Ukraine,UKR,2023,15885.226,37732836.0
United Arab Emirates,ARE,2023,68577.54,10483751.0
United Kingdom,GBR,2023,54542.016,68350000.0
United States,USA,2023,74577.51,334914895.0
Uruguay,URY,2023,31019.31,3388081.0
Uzbekistan,UZB,2023,10007.686,35652307.0
Vanuatu,VUT,2023,3118.396,320409.0
Vietnam,VNM,2023,13491.88,100352192.0
Zambia,ZMB,2023,3673.4841,20723965.0
Zimbabwe,ZWE,2023,3442.2512,16340822.0
