Country,M49 code,ISO-alpha3 code,UN Region,,,Unique UN Regions,,,Source
Algeria,12,DZA,Northern Africa,,,Northern Africa,,,https://unstats.un.org/unsd/methodology/m49/
Egypt,818,EGY,Northern Africa,,,Sub-Saharan Africa,,,
Libya,434,LBY,Northern Africa,,,Latin America and the Caribbean,,,
Morocco,504,MAR,Northern Africa,,,Northern America,,,
Sudan,729,SDN,Northern Africa,,,Central Asia,,,
Tunisia,788,TUN,Northern Africa,,,Eastern Asia,,,
Burundi,108,BDI,Sub-Saharan Africa,,,South-eastern Asia,,,
Comoros,174,COM,Sub-Saharan Africa,,,Southern Asia,,,
Djibouti,262,DJI,Sub-Saharan Africa,,,Western Asia,,,
Eritrea,232,ERI,Sub-Saharan Africa,,,Eastern Europe,,,
Ethiopia,231,ETH,Sub-Saharan Africa,,,Northern Europe,,,
French Southern Territories,260,ATF,Sub-Saharan Africa,,,Southern Europe,,,
Kenya,404,KEN,Sub-Saharan Africa,,,Western Europe,,,
Madagascar,450,MDG,Sub-Saharan Africa,,,Oceania,,,
Malawi,454,MWI,Sub-Saharan Africa,,,,,,
Mauritius,480,MUS,Sub-Saharan Africa,,,,,,
Mayotte,175,MYT,Sub-Saharan Africa,,,,,,
Mozambique,508,MOZ,Sub-Saharan Africa,,,,,,
Réunion,638,REU,Sub-Saharan Africa,,,,,,
Rwanda,646,RWA,Sub-Saharan Africa,,,,,,
Seychelles,690,SYC,Sub-Saharan Africa,,,,,,
Somalia,706,SOM,Sub-Saharan Africa,,,,,,
South Sudan,728,SSD,Sub-Saharan Africa,,,,,,
Uganda,800,UGA,Sub-Saharan Africa,,,,,,
United Republic of Tanzania,834,TZA,Sub-Saharan Africa,,,,,,
Zambia,894,ZMB,Sub-Saharan Africa,,,,,,
Zimbabwe,716,ZWE,Sub-Saharan Africa,,,,,,
Angola,24,AGO,Sub-Saharan Africa,,,,,,
Cameroon,120,CMR,Sub-Saharan Africa,,,,,,
Central African Republic,140,CAF,Sub-Saharan Africa,,,,,,
Chad,148,TCD,Sub-Saharan Africa,,,,,,
Congo,178,COG,Sub-Saharan Africa,,,,,,
Democratic Republic of the Congo,180,COD,Sub-Saharan Africa,,,,,,
Equatorial Guinea,226,GNQ,Sub-Saharan Africa,,,,,,
Gabon,266,GAB,Sub-Saharan Africa,,,,,,
Sao Tome and Principe,678,STP,Sub-Saharan Africa,,,,,,
Botswana,72,BWA,Sub-Saharan Africa,,,,,,
Eswatini,748,SWZ,Sub-Saharan Africa,,,,,,
Lesotho,426,LSO,Sub-Saharan Africa,,,,,,
Namibia,516,NAM,Sub-Saharan Africa,,,,,,
South Africa,710,ZAF,Sub-Saharan Africa,,,,,,
Benin,204,BEN,Sub-Saharan Africa,,,,,,
Burkina Faso,854,BFA,Sub-Saharan Africa,,,,,,
Cabo Verde,132,CPV,Sub-Saharan Africa,,,,,,
Côte d’Ivoire,384,CIV,Sub-Saharan Africa,,,,,,
Gambia,270,GMB,Sub-Saharan Africa,,,,,,
Ghana,288,GHA,Sub-Saharan Africa,,,,,,
Guinea,324,GIN,Sub-Saharan Africa,,,,,,
Guinea-Bissau,624,GNB,Sub-Saharan Africa,,,,,,
Liberia,430,LBR,Sub-Saharan Africa,,,,,,
Mali,466,MLI,Sub-Saharan Africa,,,,,,
Mauritania,478,MRT,Sub-Saharan Africa,,,,,,
Niger,562,NER,Sub-Saharan Africa,,,,,,
Nigeria,566,NGA,Sub-Saharan Africa,,,,,,
Saint Helena,654,SHN,Sub-Saharan Africa,,,,,,
Senegal,686,SEN,Sub-Saharan Africa,,,,,,
Sierra Leone,694,SLE,Sub-Saharan Africa,,,,,,
Togo,768,TGO,Sub-Saharan Africa,,,,,,
Americas,19,,Sub-Saharan Africa,,,,,,
Anguilla,660,AIA,Latin America and the Caribbean,,,,,,
Antigua and Barbuda,28,ATG,Latin America and the Caribbean,,,,,,
Aruba,533,ABW,Latin America and the Caribbean,,,,,,
Bahamas,44,BHS,Latin America and the Caribbean,,,,,,
Barbados,52,BRB,Latin America and the Caribbean,,,,,,
"Bonaire, Sint Eustatius and Saba",535,BES,Latin America and the Caribbean,,,,,,
British Virgin Islands,92,VGB,Latin America and the Caribbean,,,,,,
Cayman Islands,136,CYM,Latin America and the Caribbean,,,,,,
Cuba,192,CUB,Latin America and the Caribbean,,,,,,
Curaçao,531,CUW,Latin America and the Caribbean,,,,,,
Dominica,212,DMA,Latin America and the Caribbean,,,,,,
Dominican Republic,214,DOM,Latin America and the Caribbean,,,,,,
Grenada,308,GRD,Latin America and the Caribbean,,,,,,
Guadeloupe,312,GLP,Latin America and the Caribbean,,,,,,
Haiti,332,HTI,Latin America and the Caribbean,,,,,,
Jamaica,388,JAM,Latin America and the Caribbean,,,,,,
Martinique,474,MTQ,Latin America and the Caribbean,,,,,,
Montserrat,500,MSR,Latin America and the Caribbean,,,,,,
Puerto Rico,630,PRI,Latin America and the Caribbean,,,,,,
Saint Barthélemy,652,BLM,Latin America and the Caribbean,,,,,,
Saint Kitts and Nevis,659,KNA,Latin America and the Caribbean,,,,,,
Saint Lucia,662,LCA,Latin America and the Caribbean,,,,,,
