Year,Change_Type,Country name,initial_rank,ending_rank,rank_change
1947,Gainer,ECU,50,2,-48
1947,Gainer,COL,52,13,-39
1947,Gainer,VEN,41,2,-39
1947,Gainer,LBR,44,7,-37
1947,Gainer,HTI,42,13,-29
1947,Loser,BEL,6,15,9
1947,Loser,DNK,8,17,9
1947,Loser,PHL,2,12,10
1947,Loser,PRY,16,28,12
1947,Loser,SYR,20,32,12
1948,Gainer,IND,39,13,-26
1948,Gainer,HND,23,1,-22
1948,Gainer,SLV,23,1,-22
1948,Gainer,NIC,20,1,-19
1948,Gainer,PAK,29,10,-19
1948,Loser,MEX,11,36,25
1948,Loser,CHL,11,38,27
1948,Loser,CRI,13,41,28
1948,Loser,VEN,2,30,28
1948,Loser,SWE,4,37,33
1949,Gainer,HTI,33,6,-27
1949,Gainer,VEN,30,3,-27
1949,Gainer,PRY,21,2,-19
1949,Gainer,ECU,21,4,-17
1949,Gainer,MEX,36,20,-16
1949,Loser,BEL,12,45,33
1949,Loser,GBR,18,52,34
1949,Loser,IND,13,47,34
1949,Loser,NZL,2,43,41
1949,Loser,SLV,1,42,41
1950,Gainer,SLV,42,7,-35
1950,Gainer,SRB,55,23,-32
1950,Gainer,AFG,38,18,-20
1950,Gainer,LBN,30,11,-19
1950,Gainer,MMR,26,9,-17
1950,Loser,BOL,13,31,18
1950,Loser,ISR,34,55,21
1950,Loser,DOM,29,54,25
1950,Loser,CAN,16,42,26
1950,Loser,AUS,15,49,34
1951,Gainer,DOM,54,7,-47
1951,Gainer,BEL,51,12,-39
1951,Gainer,FRA,52,19,-33
1951,Gainer,CRI,48,16,-32
1951,Gainer,ISL,36,8,-28
1951,Loser,ECU,6,22,16
1951,Loser,IDN,29,47,18
1951,Loser,AFG,18,46,28
1951,Loser,EGY,10,38,28
1951,Loser,MMR,9,43,34
1952,Gainer,IDN,47,6,-41
1952,Gainer,MMR,43,18,-25
1952,Gainer,ECU,22,1,-21
1952,Gainer,EGY,38,17,-21
1952,Gainer,CUB,29,12,-17
1952,Loser,AUS,25,53,28
1952,Loser,FRA,19,50,31
1952,Loser,ISL,8,39,31
1952,Loser,LUX,11,47,36
1952,Loser,BEL,12,51,39
1953,Gainer,ISR,52,12,-40
1953,Gainer,THA,36,2,-34
1953,Gainer,BEL,51,22,-29
1953,Gainer,LUX,47,18,-29
1953,Gainer,GTM,41,14,-27
1953,Loser,SYR,28,36,8
1953,Loser,IRQ,22,31,9
1953,Loser,EGY,17,35,18
1953,Loser,MMR,18,41,23
1953,Loser,IDN,6,37,31
1954,Gainer,PAK,34,2,-32
1954,Gainer,IRQ,31,3,-28
1954,Gainer,EGY,35,8,-27
1954,Gainer,SAU,38,20,-18
1954,Gainer,SWE,40,24,-16
1954,Loser,PHL,2,31,29
1954,Loser,URY,1,30,29
1954,Loser,ISR,12,44,32
1954,Loser,BRA,1,36,35
1954,Loser,CUB,1,36,35
1955,Gainer,ZAF,48,3,-45
1955,Gainer,ARG,40,1,-39
1955,Gainer,VEN,39,1,-38
1955,Gainer,AUS,46,9,-37
1955,Gainer,IDN,45,15,-30
1955,Loser,SAU,20,32,12
1955,Loser,ETH,1,14,13
1955,Loser,MEX,7,20,13
1955,Loser,ISL,12,27,15
1955,Loser,PAK,2,17,15
1956,Gainer,ESP,38,4,-34
1956,Gainer,SWE,36,8,-28
1956,Gainer,BRA,23,2,-21
1956,Gainer,DNK,28,8,-20
1956,Gainer,NOR,28,8,-20
1956,Loser,ISR,25,51,26
1956,Loser,HUN,21,49,28
1956,Loser,ROU,21,50,29
1956,Loser,EGY,9,44,35
1956,Loser,ZAF,3,52,49
1957,Gainer,ZAF,52,2,-50
1957,Gainer,LAO,43,19,-24
1957,Gainer,PRT,45,34,-11
1957,Gainer,VEN,9,1,-8
1957,Gainer,PRY,20,13,-7
1957,Loser,MAR,27,67,40
1957,Loser,MMR,28,68,40
1957,Loser,DNK,8,49,41
1957,Loser,NOR,8,49,41
1957,Loser,SWE,8,49,41
1958,Gainer,MYS,28,2,-26
1958,Gainer,ITA,30,8,-22
1958,Gainer,GTM,32,12,-20
1958,Gainer,CUB,43,24,-19
1958,Gainer,PER,22,6,-16
1958,Loser,LBY,38,59,21
1958,Loser,LBR,5,27,22
1958,Loser,GRC,14,38,24
1958,Loser,ZAF,2,32,30
1958,Loser,IRQ,21,62,41
1959,Gainer,SWE,49,18,-31
1959,Gainer,DNK,41,18,-23
1959,Gainer,MEX,29,8,-21
1959,Gainer,NOR,41,20,-21
1959,Gainer,PHL,22,1,-21
1959,Loser,FRA,46,67,21
1959,Loser,DOM,30,54,24
1959,Loser,PER,6,36,30
1959,Loser,ITA,8,43,35
1959,Loser,ZAF,32,75,43
1960,Gainer,YEM,69,22,-47
1960,Gainer,JOR,42,3,-39
1960,Gainer,NPL,58,25,-33
1960,Gainer,LBN,44,15,-29
1960,Gainer,MMR,55,27,-28
1960,Loser,PAN,9,52,43
1960,Loser,NIC,28,72,44
1960,Loser,CHN,31,76,45
1960,Loser,COL,21,66,45
1960,Loser,USA,12,81,69
1961,Gainer,USA,81,37,-44
1961,Gainer,BFA,49,10,-39
1961,Gainer,NIC,72,33,-39
1961,Gainer,COD,65,28,-37
1961,Gainer,SWE,46,13,-33
1961,Loser,GTM,20,68,48
1961,Loser,GIN,36,88,52
1961,Loser,YEM,22,77,55
1961,Loser,CAF,7,69,62
1961,Loser,MEX,10,72,62
1962,Gainer,MLI,89,10,-79
1962,Gainer,CAF,69,4,-65
1962,Gainer,ETH,76,36,-40
1962,Gainer,IND,63,23,-40
1962,Gainer,MRT,62,25,-37
1962,Loser,JPN,24,75,51
1962,Loser,THA,17,68,51
1962,Loser,CAN,14,66,52
1962,Loser,SWE,13,67,54
1962,Loser,NOR,5,61,56
1963,Gainer,IRL,77,39,-38
1963,Gainer,THA,68,30,-38
1963,Gainer,UGA,44,7,-37
1963,Gainer,NIC,54,19,-35
