Year,TopicTag,total_yes,total_votes,yes_vote_percentage
1946,DISCRIMINATION,73,95,76.84210526315789
1946,POLITICAL AND LEGAL QUESTIONS,768,1011,75.96439169139467
1946,GENERAL AND NATIONAL LAW,63,84,75.0
1946,INTERNATIONAL RELATIONS,258,360,71.66666666666667
1946,HUMAN RIGHTS,133,201,66.16915422885572
1946,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,132,201,65.67164179104478
1946,POLITICAL EVENTS AND ISSUES,34,53,64.15094339622641
1946,INTERNATIONAL LAW,30,53,56.60377358490566
1946,SOCIAL DEVELOPMENT,85,159,53.459119496855344
1947,INTERNATIONAL RELATIONS,297,369,80.48780487804879
1947,POLITICAL AND LEGAL QUESTIONS,460,587,78.36456558773425
1947,INTERNATIONAL LAW,38,52,73.07692307692307
1947,LAW OF WAR,38,52,73.07692307692307
1947,MAINTENANCE OF PEACE AND SECURITY,40,57,70.17543859649122
1947,POLITICAL EVENTS AND ISSUES,40,57,70.17543859649122
1947,No Tag,32,54,59.25925925925925
1948,HISTORICAL PERIODS,53,57,92.98245614035088
1948,DEVELOPMENT FINANCE,48,54,88.88888888888889
1948,PUBLIC FINANCE,48,54,88.88888888888889
1948,DEVELOPMENT,47,53,88.67924528301887
1948,HUMAN RIGHTS,48,56,85.71428571428571
1948,INTERNATIONAL LAW,187,222,84.23423423423422
1948,POLITICAL AND LEGAL QUESTIONS,464,585,79.31623931623932
1948,No Tag,43,58,74.13793103448276
1948,INTERNATIONAL RELATIONS,181,263,68.8212927756654
1948,POLITICAL EVENTS AND ISSUES,35,58,60.3448275862069
1948,STATISTICS,30,53,56.60377358490566
1948,LANGUAGE,32,57,56.14035087719298
1949,SOCIAL DEVELOPMENT,87,109,79.81651376146789
1949,HUMAN RIGHTS,163,218,74.77064220183486
1949,DISCRIMINATION,82,110,74.54545454545455
1949,POLITICAL AND LEGAL QUESTIONS,536,732,73.224043715847
1949,POLITICAL EVENTS AND ISSUES,120,164,73.17073170731707
1949,GENERAL AND NATIONAL LAW,35,52,67.3076923076923
1949,COMMUNICATION AND MASS MEDIA,38,58,65.51724137931035
1949,INTERNATIONAL LAW,106,162,65.4320987654321
1949,INTERNATIONAL RELATIONS,147,225,65.33333333333333
1949,TELECOMMUNICATIONS,33,52,63.46153846153846
1950,POLITICAL EVENTS AND ISSUES,99,113,87.61061946902655
1950,DISARMAMENT AND MILITARY QUESTIONS,47,55,85.45454545454545
1950,INTERNATIONAL LAW,47,55,85.45454545454545
1950,NUCLEAR SCIENCE,47,55,85.45454545454545
1950,MAINTENANCE OF PEACE AND SECURITY,139,176,78.97727272727273
1950,DISCRIMINATION,88,117,75.21367521367522
1950,HUMAN RIGHTS,125,173,72.25433526011561
1950,POLITICAL AND LEGAL QUESTIONS,575,802,71.69576059850374
1950,INTERNATIONAL RELATIONS,166,232,71.55172413793103
1950,No Tag,31,58,53.44827586206896
1951,POLITICAL AND LEGAL QUESTIONS,190,234,81.19658119658119
1951,MAINTENANCE OF PEACE AND SECURITY,136,174,78.16091954022988
1951,INTERNATIONAL RELATIONS,89,119,74.78991596638656
1951,No Tag,24,53,45.28301886792453
1952,AIR TRANSPORT,53,59,89.83050847457628
1952,SPECIAL HUMANITARIAN OPERATIONS,51,58,87.93103448275862
1952,INTERNATIONAL RELATIONS,338,413,81.84019370460048
1952,MAINTENANCE OF PEACE AND SECURITY,187,236,79.23728813559322
1952,WOMEN'S ADVANCEMENT,86,111,77.47747747747748
1952,POLITICAL EVENTS AND ISSUES,87,114,76.31578947368422
1952,POLITICAL AND LEGAL QUESTIONS,801,1110,72.16216216216216
1952,HUMAN RIGHTS,261,398,65.57788944723619
1952,DISCRIMINATION,175,287,60.97560975609756
1952,POPULATION DYNAMICS,36,60,60.0
1952,PUBLIC FINANCE,36,60,60.0
1952,RESOURCES (GENERAL),36,60,60.0
1952,ECONOMIC CONDITIONS,71,119,59.66386554621849
1952,COMMODITIES,35,59,59.32203389830508
1952,TRADE IN COMMODITIES,35,59,59.32203389830508
1952,DEVELOPMENT,137,236,58.05084745762712
1952,DEVELOPMENT FINANCE,65,116,56.03448275862068
1953,WOMEN'S ADVANCEMENT,106,119,89.07563025210085
1953,POLITICAL EVENTS AND ISSUES,101,116,87.06896551724138
1953,INTERNATIONAL LAW,51,60,85.0
1953,DISARMAMENT AND MILITARY QUESTIONS,93,117,79.48717948717949
1953,MAINTENANCE OF PEACE AND SECURITY,93,117,79.48717948717949
1953,HUMAN RIGHTS,225,295,76.27118644067797
1953,POLITICAL AND LEGAL QUESTIONS,300,414,72.46376811594203
1953,SOCIAL DEVELOPMENT,39,56,69.64285714285714
1953,PUBLIC FINANCE,41,60,68.33333333333333
1953,DISCRIMINATION,119,176,67.61363636363636
1954,INTERNATIONAL RELATIONS,194,231,83.98268398268398
1954,LANGUAGE,47,57,82.45614035087719
1954,LAW OF WAR,45,56,80.35714285714286
1954,MAINTENANCE OF PEACE AND SECURITY,93,116,80.17241379310344
1954,POLITICAL AND LEGAL QUESTIONS,416,572,72.72727272727273
1954,POLITICAL EVENTS AND ISSUES,43,60,71.66666666666667
1954,DISCRIMINATION,40,60,66.66666666666666
1954,HUMAN RIGHTS,40,60,66.66666666666666
1954,INTERNATIONAL LAW,68,114,59.64912280701754
1955,INTERNATIONAL RELATIONS,85,118,72.03389830508475
1955,POLITICAL EVENTS AND ISSUES,42,60,70.0
1955,POLITICAL AND LEGAL QUESTIONS,201,304,66.11842105263158
1955,INTERNATIONAL LAW,76,117,64.95726495726495
1955,GENERAL AND NATIONAL LAW,33,59,55.932203389830505
1956,POLITICAL AND LEGAL QUESTIONS,1482,1830,80.98360655737706
1956,MAINTENANCE OF PEACE AND SECURITY,702,919,76.38737758433079
1956,POLITICAL EVENTS AND ISSUES,925,1220,75.81967213114754
1956,INTERNATIONAL RELATIONS,749,998,75.0501002004008
1957,DEVELOPMENT,78,79,98.73417721518987
1957,PUBLIC ADMINISTRATION,78,79,98.73417721518987
1957,INTERNATIONAL RELATIONS,312,396,78.78787878787878
1957,MAINTENANCE OF PEACE AND SECURITY,499,635,78.58267716535433
1957,POLITICAL EVENTS AND ISSUES,370,472,78.38983050847457
1957,DISARMAMENT AND MILITARY QUESTIONS,187,241,77.59336099585063
1957,POLITICAL AND LEGAL QUESTIONS,1326,1722,77.00348432055749
1957,DISCRIMINATION,170,231,73.59307359307358
1957,HUMAN RIGHTS,170,231,73.59307359307358
1957,GENERAL AND NATIONAL LAW,47,73,64.38356164383562
1957,WOMEN'S ADVANCEMENT,47,73,64.38356164383562
1957,INTERNATIONAL LAW,89,154,57.7922077922078
1958,COMMODITIES,80,81,98.76543209876543
1958,TRADE IN COMMODITIES,80,81,98.76543209876543
