Country name,Year,Pillar 1 Score,Pillar 2 Score,Pillar 3 Score,Total Index Average,Overall Rank,Overall Rank Rolling Avg (3y),Total Index Normalized,Pillar 1 Normalized,Pillar 1 Rank,Pillar 2 Normalized,Pillar 2 Rank,Pillar 3 Normalized,Pillar 3 Rank,Yes Votes,No Votes,Abstain Votes,Total Votes in Year
AFG,1946,50.0,76.67665200193198,24.47421603235227,50.38362267809475,46,46.0,50.38362267809475,50.0,,76.67665200193198,43,24.47421603235227,46,5,1,5,11
AFG,1947,50.0,62.160084398209335,53.578992509767886,55.24635896932574,53,49.5,55.24635896932574,50.0,,62.160084398209335,52,53.578992509767886,46,6,4,2,12
AFG,1948,50.0,99.63958980420568,88.44401031518191,79.36120003979586,24,41.0,79.36120003979586,50.0,,99.63958980420568,21,88.44401031518191,43,13,1,2,16
AFG,1949,44.82962962962965,99.75607226658776,58.44686627622609,67.67752272414783,33,36.666666666666664,67.67752272414783,44.82962962962965,29,99.75607226658776,11,58.44686627622609,44,11,1,5,17
AFG,1950,58.333333333333336,91.64629998790016,87.59693353140638,79.19218895087995,16,24.333333333333332,79.19218895087995,58.333333333333336,24,91.64629998790016,22,87.59693353140638,19,16,0,2,18
AFG,1951,5.555555555555581,58.4464862514535,0.0,21.33401393566969,59,36.0,21.33401393566969,5.555555555555581,53,58.4464862514535,54,0.0,60,1,0,4,5
AFG,1952,29.60339943342779,94.5667143266004,83.4955535530734,69.22188910436721,35,36.666666666666664,69.22188910436721,29.60339943342779,55,94.5667143266004,19,83.4955535530734,26,22,0,6,28
AFG,1953,0.0,87.96945746386909,64.20013830634466,50.72319859007124,56,50.0,50.72319859007124,0.0,46,87.96945746386909,41,64.20013830634466,39,7,0,4,11
AFG,1954,50.0,70.63249577097211,56.942195142276105,59.191563637749404,49,46.666666666666664,59.191563637749404,50.0,,70.63249577097211,46,56.942195142276105,49,8,0,3,11
AFG,1955,50.0,25.061513374417256,28.392098989345772,34.484537454587674,63,56.0,34.484537454587674,50.0,,25.061513374417256,62,28.392098989345772,54,2,1,3,6
AFG,1956,50.0,77.9430918200647,56.334667288516876,61.42591970286052,62,58.0,61.42591970286052,50.0,,77.9430918200647,66,56.334667288516876,62,16,1,7,24
AFG,1957,29.91256327657615,73.44477143377726,57.15404293551419,53.503792548622535,70,65.0,53.503792548622535,29.91256327657615,51,73.44477143377726,66,57.15404293551419,65,17,2,8,27
AFG,1958,15.99506578947367,50.55982341460311,48.26198658932645,38.27229193113441,80,70.66666666666667,38.27229193113441,15.99506578947367,55,50.55982341460311,74,48.26198658932645,72,5,1,8,14
AFG,1959,45.84775086505192,52.00629190627527,14.05612552439801,37.3033894319084,78,76.0,37.3033894319084,45.84775086505192,66,52.00629190627527,74,14.05612552439801,70,9,1,8,18
AFG,1960,19.793552174551113,99.82103295418841,89.19435017837462,69.60297843570471,64,74.0,69.60297843570471,19.793552174551113,75,99.82103295418841,15,89.19435017837462,24,14,2,1,17
AFG,1961,37.601671185385996,74.90291618711322,60.417416455606826,57.64066794270201,92,78.0,57.64066794270201,37.601671185385996,54,74.90291618711322,80,60.417416455606826,88,23,1,15,39
AFG,1962,28.756397270497914,99.51543536301733,87.4847996707955,71.91887743477025,65,73.66666666666667,71.91887743477025,28.756397270497914,59,99.51543536301733,32,87.4847996707955,29,14,0,3,17
AFG,1963,27.670144063586683,89.4615318832225,87.31693472209562,68.14953688963494,86,81.0,68.14953688963494,27.670144063586683,74,89.4615318832225,89,87.31693472209562,67,19,0,4,23
AFG,1965,50.0,94.13264259013248,93.06584283821056,79.06616180944768,22,57.666666666666664,79.06616180944768,50.0,,94.13264259013248,49,93.06584283821056,15,22,1,4,27
AFG,1966,50.0,89.96810583016281,90.07829038198767,76.68213207071683,59,55.666666666666664,76.68213207071683,50.0,,89.96810583016281,74,90.07829038198767,47,19,1,4,24
AFG,1967,50.0,96.45055408341506,88.89388152527124,78.44814520289543,28,36.333333333333336,78.44814520289543,50.0,,96.45055408341506,31,88.89388152527124,49,23,2,2,27
