id,year,date,draft_res_num,record,url_for_res,url_for_record,num_pms,canonical_topic,full_resolution_name,description,historical_context,china_veto,russia_veto,france_veto,us_veto,uk_veto,last_update,total_vetoes,enhanced_description,enhanced_historical_context,primary_countries,primary_regions,conflict_type,geographic_tags,topic_tags,processing_timestamp
1,2025,2025-06-04,S/2025/353,9929,https://undocs.org/S/2025/353,https://undocs.org/en/S/PV.9929,1,"Middle East, including Palestinian question","The situation in the Middle East, including the Palestinian question","The situation in the Middle East, including the Palestinian question",,0,0,0,1,0,2025-09-24,1,"The resolution S/2025/353 addressed the escalating tensions in the Middle East, particularly focusing on the Israeli-Palestinian conflict, which had seen a resurgence of violence and a deteriorating humanitarian situation. It highlighted the urgent need for renewed dialogue and international support to address the ongoing disputes over territory, security, and the rights of Palestinian refugees amidst a backdrop of increasing regional instability.","In 2025, the Middle East was marked by heightened geopolitical tensions, including the aftermath of the 2024 Gaza conflict, which had resulted in significant casualties and displacement. The region was also grappling with the implications of shifting alliances, particularly following normalization agreements between Israel and several Arab states, which had complicated the dynamics of the Israeli-Palestinian peace process.","[""Israel"", ""Palestine"", ""Egypt"", ""Jordan"", ""United States""]","[""Gaza Strip"", ""West Bank"", ""East Jerusalem""]",territorial_dispute,"[[""Asia"", ""Western Asia"", ""IL""], [""Asia"", ""Western Asia"", ""PS""], [""Africa"", ""Northern Africa"", ""EG""], [""Asia"", ""Western Asia"", ""JO""], [""Americas"", ""Northern America"", ""US""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""POLITICAL CONDITIONS""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CONFLICT MANAGEMENT""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""MIDDLE EAST SITUATION""], [""HUMANITARIAN AID AND RELIEF"", ""PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS"", ""PALESTINE REFUGEES""]]",2025-09-27T14:27:04.729373
2,2025,2025-02-24,S/2025/116,9866,https://undocs.org/en/S/2025/116,https://undocs.org/en/S/PV.9866,1,Ukraine,Maintenance of peace and security of Ukraine,Maintenance of peace and security of Ukraine,,0,1,0,0,0,2025-09-24,1,"The resolution S/2025/116 addressed the ongoing conflict in Ukraine, particularly focusing on the security situation stemming from the Russian annexation of Crimea in 2014 and the subsequent military engagements in Eastern Ukraine. It sought to reaffirm the international community's commitment to Ukraine's sovereignty and territorial integrity amid escalating tensions and military confrontations involving Russian-backed separatists and Ukrainian forces.","In 2025, the geopolitical landscape was marked by heightened tensions between NATO and Russia, with Ukraine remaining a focal point of conflict. The situation was exacerbated by ongoing military skirmishes in the Donbas region, economic sanctions imposed on Russia by Western nations, and a growing humanitarian crisis resulting from the conflict, leading to increased calls for international intervention and support for Ukraine.","[""Ukraine"", ""Russia"", ""United States"", ""France"", ""Germany""]","[""Eastern Europe"", ""Donbas region"", ""Crimea""]",territorial_dispute,"[[""Europe"", ""Eastern Europe"", ""UA""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CONFLICT MANAGEMENT""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMATIC RELATIONS""], [""POLITICAL AND LEGAL QUESTIONS"", ""DISARMAMENT AND MILITARY QUESTIONS"", ""ARMED CONFLICTS""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""AUTHORITARIANISM""]]",2025-09-27T14:27:22.850087
3,2025,2025-02-24,S/2025/115,9866,https://undocs.org/en/S/2025/115,https://undocs.org/en/S/PV.9866,1,Ukraine,Maintenance of peace and security of Ukraine,Maintenance of peace and security of Ukraine,,0,1,0,0,0,2025-09-24,1,"The resolution S/2025/115, titled 'Maintenance of peace and security of Ukraine', addressed the ongoing conflict in Ukraine, particularly focusing on the escalation of hostilities in the eastern regions and the geopolitical ramifications of Russia's military presence. It sought to reaffirm the international community's commitment to Ukraine's sovereignty and territorial integrity amid increasing tensions and military confrontations between Ukrainian forces and Russian-backed separatists.","In 2025, the conflict in Ukraine had reached a critical juncture, with renewed fighting in the Donbas region and heightened military activities along the Ukrainian border. The geopolitical landscape was marked by a deepening divide between Western nations, supporting Ukraine, and Russia, which continued to assert its influence in the region, leading to a complex interplay of international diplomacy and security concerns.","[""Ukraine"", ""Russia"", ""United States"", ""European Union member states""]","[""Eastern Ukraine"", ""Donbas region"", ""Black Sea""]",territorial_dispute,"[[""Europe"", ""Eastern Europe"", ""UA""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CONFLICT MANAGEMENT""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""DEMOCRACY""]]",2025-09-27T14:27:47.424129
4,2024,2024-11-20,S/2024/835,9790,https://undocs.org/en/S/2024/835,https://undocs.org/en/S/PV.9790,1,"Middle East, including Palestinian question","The situation in the Middle East, including the Palestinian question","The situation in the Middle East, including the Palestinian question",,0,0,0,1,0,2025-09-24,1,"The resolution S/2024/835 addressed the ongoing and escalating tensions in the Middle East, particularly focusing on the Israeli-Palestinian conflict. It sought to highlight the urgent need for renewed dialogue and negotiations amidst a backdrop of increased violence, settlement expansions, and humanitarian crises affecting Palestinian territories.","In 2024, the Middle East was marked by heightened geopolitical tensions, including a resurgence of violence in Gaza and the West Bank, as well as a lack of progress in peace negotiations. The international community was grappling with the implications of shifting alliances in the region, particularly in light of normalization agreements between Israel and several Arab states, which complicated the traditional dynamics of the Israeli-Palestinian conflict.","[""Israel"", ""Palestine"", ""United States"", ""Egypt"", ""Jordan""]","[""Gaza Strip"", ""West Bank"", ""Middle East""]",territorial_dispute,"[[""Asia"", ""Western Asia"", ""IL""], [""Asia"", ""Western Asia"", ""PS""], [""North America"", ""Northern America"", ""US""], [""Africa"", ""Northern Africa"", ""EG""], [""Asia"", ""Western Asia"", ""JO""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""MEDIATION""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""NATIONALISM""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""MIDDLE EAST SITUATION""]]",2025-09-27T14:28:04.217786
5,2024,2024-11-18,S/2024/826,9786,https://undocs.org/en/S/2024/826,https://undocs.org/en/S/PV.9786,1,Sudan and South Sudan,Reports of the Secretary-General on the Sudan and South Sudan,Reports of the Secretary-General on the Sudan and South Sudan,,0,1,0,0,0,2025-09-24,1,"The resolution S/2024/826 addressed the ongoing humanitarian crisis and escalating violence in Sudan and South Sudan, particularly focusing on the deteriorating security situation in regions such as Darfur and the border areas. It highlighted the urgent need for international support and intervention to protect civilians amidst increasing inter-communal violence and clashes between government forces and armed groups.","In 2024, Sudan and South Sudan were grappling with the aftermath of years of conflict, including the civil war in South Sudan that had led to widespread displacement and humanitarian needs. The geopolitical landscape was further complicated by regional tensions, with neighboring countries expressing concerns over spillover effects from the instability, particularly in light of the ongoing struggles for power and resources in both nations.","[""Sudan"", ""South Sudan"", ""Egypt"", ""Ethiopia""]","[""Darfur"", ""South Kordofan"", ""Blue Nile"", ""Greater Upper Nile""]",civil_war,"[[""Africa"", ""Northern Africa"", ""SD""], [""Africa"", ""Eastern Africa"", ""SS""]]","[[""HUMANITARIAN AID AND RELIEF"", ""PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS"", ""DISPLACED PERSONS""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CONFLICT MANAGEMENT""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""CIVIL WAR""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""DISARMAMENT AND MILITARY QUESTIONS"", ""ARMED CONFLICTS""]]",2025-09-27T14:28:25.237712
6,2024,2024-04-24,S/2024/302,9616,https://undocs.org/en/S/2024/302,https://undocs.org/en/S/PV.9616,1,Non-proliferation,Non-proliferation,Resolution addresses global nuclear disarmament and non-proliferation efforts amid rising tensions.,"In 2024, geopolitical tensions heighten concerns over nuclear proliferation and security.",0,1,0,0,0,2025-09-24,1,"The resolution S/2024/302 focused on the urgent need for enhanced measures to prevent the proliferation of nuclear weapons, particularly in light of escalating tensions in East Asia and the Middle East. It addressed concerns regarding North Korea's continued missile tests and Iran's nuclear program, emphasizing the necessity for international cooperation and compliance with existing non-proliferation treaties.","In 2024, the geopolitical landscape was marked by heightened anxieties over nuclear capabilities, particularly following North Korea's aggressive military posturing and Iran's advancements in its nuclear technology amidst stalled negotiations. The international community was grappling with the implications of these developments on regional stability and global security, prompting the Security Council to consider stronger non-proliferation measures.","[""North Korea"", ""Iran"", ""United States"", ""China"", ""Russia""]","[""East Asia"", ""Middle East""]",arms_control,"[[""Asia"", ""Eastern Asia"", ""KP""], [""Asia"", ""Western Asia"", ""IR""], [""Americas"", ""Northern America"", ""US""], [""Asia"", ""Eastern Asia"", ""CN""], [""Europe"", ""Eastern Europe"", ""RU""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""DISARMAMENT AND MILITARY QUESTIONS"", ""NUCLEAR NON-PROLIFERATION""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""ARMS EMBARGO""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""]]",2025-09-27T14:28:38.639835
7,2024,2024-04-18,S/2024/312,9609,https://undocs.org/en/S/2024/312,https://undocs.org/en/S/PV.9609,1,Admission of new Members,Admission of new members,Admission of new members,,0,0,0,1,0,2025-09-24,1,"The resolution S/2024/312 focused on the admission of new member states into the United Nations, specifically addressing the applications from several nations seeking to join the organization amid a backdrop of increasing geopolitical tensions. The resolution highlighted the complexities surrounding membership criteria and the implications of expanding the UN's membership in a polarized global environment, where issues of representation and legitimacy were at the forefront of international discourse.","In 2024, the international community was grappling with a series of crises, including ongoing conflicts in regions like Eastern Europe and the Middle East, which influenced the dynamics of global governance and international cooperation. The rise of populism and nationalism in various countries had led to a reevaluation of multilateral institutions, making the question of UN membership particularly contentious as nations sought to assert their sovereignty and influence on the world stage.","[""Ukraine"", ""Taiwan"", ""Kosovo"", ""Palestine""]","[""Eastern Europe"", ""Asia-Pacific"", ""Middle East""]",membership_application,"[[""Europe"", ""Eastern Europe"", ""UA""], [""Asia"", ""Eastern Asia"", ""TW""], [""Europe"", ""Southern Europe"", ""XK""], [""Asia"", ""Western Asia"", ""PS""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""LEGITIMACY OF GOVERNMENTS""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMATIC RELATIONS""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", null]]",2025-09-27T14:28:51.605633
8,2024,2024-03-28,S/2024/255,9591,https://undocs.org/en/S/2024/255,https://undocs.org/en/S/PV.9591,1,Non-proliferation/DPRK,Non-proliferation/Democratic People's Republic of Korea,Non-proliferation/Democratic People's Republic of Korea,,0,1,0,0,0,2025-09-24,1,"The resolution S/2024/255 focused on the ongoing concerns regarding the Democratic People's Republic of Korea's (DPRK) nuclear weapons program and its implications for regional and global security. It addressed the increasing frequency of missile tests conducted by North Korea, which were perceived as direct challenges to international norms on non-proliferation and posed significant threats to neighboring countries and the broader international community.","In 2024, the geopolitical landscape was marked by heightened tensions in East Asia, particularly following a series of provocative missile launches by North Korea that escalated fears of military confrontation. The international community was grappling with the implications of North Korea's continued defiance of UN sanctions and its unwillingness to engage in meaningful dialogue regarding denuclearization, amid a backdrop of shifting alliances and increasing military posturing in the region.","[""North Korea"", ""United States"", ""South Korea"", ""China"", ""Russia""]","[""East Asia"", ""Northeast Asia""]",arms_control,"[[""Asia"", ""Eastern Asia"", ""KP""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""DISARMAMENT AND MILITARY QUESTIONS"", ""BALLISTIC MISSILES""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""COUNTER-TERRORISM""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""]]",2025-09-27T14:29:06.491899
9,2024,2024-03-22,S/2024/239,9584,https://undocs.org/en/S/2024/239,https://undocs.org/en/S/PV.9584,2,"Middle East, including Palestinian question","The situation in the Middle East, including the Palestinian question","The situation in the Middle East, including the Palestinian question",,1,1,0,0,0,2025-09-24,2,"The resolution S/2024/239 addressed the ongoing and escalating tensions in the Middle East, particularly focusing on the Israeli-Palestinian conflict. It sought to highlight the deteriorating humanitarian situation in the Palestinian territories, including issues related to settlement expansion, violence, and the blockade of Gaza, while also emphasizing the need for renewed dialogue and peace negotiations between the conflicting parties.","In 2024, the geopolitical landscape in the Middle East was marked by heightened violence and instability, particularly following a series of clashes in the Gaza Strip and the West Bank. The international community was increasingly concerned about the implications of unilateral actions by Israel, including settlement activities and military operations, which were viewed as undermining the prospects for a two-state solution amidst a backdrop of regional tensions involving Iran and its influence in neighboring countries.","[""Israel"", ""Palestine"", ""United States"", ""Iran""]","[""Gaza Strip"", ""West Bank"", ""Middle East""]",territorial_dispute,"[[""Asia"", ""Western Asia"", ""IL""], [""Asia"", ""Western Asia"", ""PS""], [""North America"", ""Northern America"", ""US""], [""Asia"", ""Western Asia"", ""IR""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""POLITICAL CONDITIONS""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CEASEFIRES""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""MIDDLE EAST SITUATION""]]",2025-09-27T14:29:27.890892
10,2024,2024-02-20,S/2024/173,9552,https://undocs.org/en/S/2024/173,https://undocs.org/en/S/PV.9552,1,"Middle East, including Palestinian question","The situation in the Middle East, including the Palestinian question","The situation in the Middle East, including the Palestinian question",,0,0,0,1,0,2025-09-24,1,"The resolution S/2024/173 addressed the ongoing and escalating tensions in the Middle East, particularly focusing on the Israeli-Palestinian conflict. It sought to highlight the humanitarian crisis in the Gaza Strip and the West Bank, exacerbated by military actions, settlement expansions, and the lack of a viable peace process, while also emphasizing the urgent need for international intervention to protect civilians and uphold human rights.","In 2024, the Middle East was marked by significant geopolitical instability, with increased violence in Israel and Palestine following a series of clashes and retaliatory strikes. The international community was witnessing a resurgence of tensions, fueled by political shifts in regional powers, ongoing disputes over land and sovereignty, and the failure of diplomatic efforts to achieve a lasting peace, leading to heightened calls for action from the UN Security Council.","[""Israel"", ""Palestine"", ""United States"", ""Egypt"", ""Jordan""]","[""Gaza Strip"", ""West Bank"", ""Middle East""]",territorial_dispute,"[[""Asia"", ""Western Asia"", ""IL""], [""Asia"", ""Western Asia"", ""PS""], [""Asia"", ""Western Asia"", ""US""], [""Africa"", ""Northern Africa"", ""EG""], [""Asia"", ""Western Asia"", ""JO""]]","[[""HUMANITARIAN AID AND RELIEF"", ""PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS"", ""PALESTINE REFUGEES""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""POLITICAL CONDITIONS""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CEASEFIRES""], [""POLITICAL AND LEGAL QUESTIONS"", ""DISARMAMENT AND MILITARY QUESTIONS"", ""ARMED CONFLICTS""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""ISRAEL-ARAB WAR (1948-1949)""], [""SOCIAL CONDITIONS AND EQUITY"", ""HUMAN RIGHTS"", ""CIVILIAN PERSONS""]]",2025-09-27T14:29:54.040491
