Country name,Year,Pillar 1 Score(dumb),Pillar 2 Score(dumb),Pillar 3 Score(dumb),Total Index Average(dumb),Overall Rank,Overall Rank Rolling Avg (3y),Total Index Average,Pillar 1 Score,Pillar 1 Rank,Pillar 2 Score,Pillar 2 Rank,Pillar 3 Score,Pillar 3 Rank,Yes Votes,No Votes,Abstain Votes,Total Votes in Year
AFG,1946,,89.0139,64.2450,76.6294,46,46.0000,51.5762,50.0000,,76.6767,39,24.4742,41,5,1,5,11
AFG,1947,,86.2636,70.7575,78.5106,33,39.5000,56.6064,50.0000,,62.1601,32,53.5790,18,6,4,2,12
AFG,1948,,99.9434,90.5256,95.2345,25,34.6667,90.5323,50.0000,,99.6396,13,88.4440,15,13,1,2,16
AFG,1949,80.5556,99.9285,81.0581,87.1807,38,32.0000,61.1303,44.8296,22,99.7561,3,58.4469,30,11,1,5,17
AFG,1950,80.5556,97.0501,93.7028,90.4362,18,27.0000,76.1387,58.3333,16,91.6463,12,87.5969,6,16,0,2,18
AFG,1951,64.5833,77.5654,30.1610,57.4366,46,34.0000,18.0604,5.5556,26,58.4465,23,0.0000,13,1,0,4,5
AFG,1952,70.4167,97.9962,90.7172,86.3767,35,33.0000,68.0819,29.6034,27,94.5667,13,83.4956,16,22,0,6,28
AFG,1953,50.0000,93.8435,79.7348,74.5261,39,40.0000,51.9459,0.0000,6,87.9695,21,64.2001,13,7,0,4,11
AFG,1954,,88.8878,81.2893,85.0886,41,38.3333,67.4744,50.0000,,70.6325,34,56.9422,25,8,0,3,11
AFG,1955,,62.8950,55.9606,59.4278,37,39.0000,26.8824,50.0000,,25.0615,35,28.3921,18,2,1,3,6
AFG,1956,,91.4376,81.6961,86.5668,40,39.3333,66.4855,50.0000,,77.9431,39,56.3347,22,16,1,7,24
AFG,1957,73.3741,90.2341,79.8869,81.1650,60,45.6667,47.6105,29.9126,24,73.4448,49,57.1540,34,17,2,8,27
AFG,1958,64.2832,75.7551,53.0184,64.3523,72,57.3333,43.9258,15.9951,27,50.5598,53,48.2620,25,5,1,8,14
AFG,1959,77.6429,81.6704,69.9866,76.4333,71,67.6667,26.3166,45.8478,45,52.0063,61,14.0561,36,9,1,8,18
AFG,1960,73.1977,99.9034,93.4573,88.8528,51,64.6667,81.1013,19.7936,64,99.8210,7,89.1944,13,14,2,1,17
AFG,1961,75.3625,88.5423,74.8130,79.5726,86,69.3333,61.7680,37.6017,54,74.9029,73,60.4174,80,23,1,15,39
AFG,1962,72.8646,99.6809,90.9310,87.8255,51,62.6667,80.2045,28.7564,59,99.5154,20,87.4848,16,14,0,3,17
AFG,1963,72.4242,92.7173,91.0749,85.4055,86,74.3333,74.5663,27.6701,68,89.4615,70,87.3169,22,19,0,4,23
AFG,1965,,96.2185,94.3712,95.2949,19,52.0000,94.5181,50.0000,,94.1326,39,93.0658,12,22,1,4,27
AFG,1966,,93.2916,91.6228,92.4572,52,52.3333,90.3867,50.0000,,89.9681,64,90.0783,36,19,1,4,24
AFG,1967,,98.0181,92.1493,95.0837,25,32.0000,92.2799,50.0000,,96.4506,20,88.8939,27,23,2,2,27
AFG,1968,79.6429,96.1424,94.0376,89.9409,55,44.0000,88.2223,36.3351,86,95.7309,38,94.9337,17,24,1,2,27
