Period,Country1_ISO3,Country2_ISO3,CosineSimilarity
1945-1949,AFG,AGO,0.000000
1945-1949,AFG,ALB,0.000000
1945-1949,AFG,AND,0.000000
1945-1949,AFG,ARE,0.000000
1945-1949,AFG,ARG,0.327327
1945-1949,AFG,ARM,0.000000
1945-1949,AFG,ATG,0.000000
1945-1949,AFG,AUS,0.289570
1945-1949,AFG,AUT,0.000000
1945-1949,AFG,AZE,0.000000
1945-1949,AFG,BDI,0.000000
1945-1949,AFG,BEL,0.232250
1945-1949,AFG,BEN,0.000000
1945-1949,AFG,BFA,0.000000
1945-1949,AFG,BGD,0.000000
1945-1949,AFG,BGR,0.000000
1945-1949,AFG,BHR,0.000000
1945-1949,AFG,BHS,0.000000
1945-1949,AFG,BIH,0.000000
1945-1949,AFG,BLR,-0.078386
1945-1949,AFG,BLZ,0.000000
1945-1949,AFG,BOL,0.482198
1945-1949,AFG,BRA,0.383844
1945-1949,AFG,BRB,0.000000
1945-1949,AFG,BRN,0.000000
1945-1949,AFG,BTN,0.000000
1945-1949,AFG,BWA,0.000000
1945-1949,AFG,CAF,0.000000
1945-1949,AFG,CAN,0.222718
1945-1949,AFG,CHE,0.000000
1945-1949,AFG,CHL,0.502215
1945-1949,AFG,CHN,0.378189
1945-1949,AFG,CIV,0.000000
1945-1949,AFG,CMR,0.000000
1945-1949,AFG,COD,0.000000
1945-1949,AFG,COG,0.000000
1945-1949,AFG,COL,0.407345
1945-1949,AFG,COM,0.000000
1945-1949,AFG,CPV,0.000000
1945-1949,AFG,CRI,0.305505
1945-1949,AFG,CUB,0.520814
1945-1949,AFG,CYP,0.000000
1945-1949,AFG,CZE,-0.086427
1945-1949,AFG,DEU,0.000000
1945-1949,AFG,DJI,0.000000
1945-1949,AFG,DMA,0.000000
1945-1949,AFG,DNK,0.466569
1945-1949,AFG,DOM,0.478474
1945-1949,AFG,DZA,0.000000
1945-1949,AFG,ECU,0.436931
1945-1949,AFG,EGY,0.549086
1945-1949,AFG,ERI,0.000000
1945-1949,AFG,ESP,0.000000
1945-1949,AFG,EST,0.000000
1945-1949,AFG,ETH,0.224818
1945-1949,AFG,FIN,0.000000
1945-1949,AFG,FJI,0.000000
1945-1949,AFG,FRA,0.224111
1945-1949,AFG,FSM,0.000000
1945-1949,AFG,GAB,0.000000
1945-1949,AFG,GBR,0.172644
1945-1949,AFG,GEO,0.000000
1945-1949,AFG,GHA,0.000000
1945-1949,AFG,GIN,0.000000
1945-1949,AFG,GMB,0.000000
1945-1949,AFG,GNB,0.000000
1945-1949,AFG,GNQ,0.000000
1945-1949,AFG,GRC,0.398410
1945-1949,AFG,GRD,0.000000
1945-1949,AFG,GTM,0.419961
1945-1949,AFG,GUY,0.000000
1945-1949,AFG,HND,0.405220
1945-1949,AFG,HRV,0.000000
1945-1949,AFG,HTI,0.477767
1945-1949,AFG,HUN,0.000000
1945-1949,AFG,IDN,0.000000
1945-1949,AFG,IND,0.567367
1945-1949,AFG,IRL,0.000000
1945-1949,AFG,IRN,0.697217
1945-1949,AFG,IRQ,0.671722
1945-1949,AFG,ISL,0.423904
1945-1949,AFG,ISR,0.372194
1945-1949,AFG,ITA,0.000000
1945-1949,AFG,JAM,0.000000
1945-1949,AFG,JOR,0.000000
1945-1949,AFG,JPN,0.000000
1945-1949,AFG,KAZ,0.000000
1945-1949,AFG,KEN,0.000000
1945-1949,AFG,KGZ,0.000000
1945-1949,AFG,KHM,0.000000
1945-1949,AFG,KIR,0.000000
1945-1949,AFG,KNA,0.000000
1945-1949,AFG,KOR,0.000000
1945-1949,AFG,KWT,0.000000
1945-1949,AFG,LAO,0.000000
1945-1949,AFG,LBN,0.583212
1945-1949,AFG,LBR,0.505450
1945-1949,AFG,LBY,0.000000
1945-1949,AFG,LCA,0.000000
1945-1949,AFG,LIE,0.000000
1945-1949,AFG,LKA,0.000000
1945-1949,AFG,LSO,0.000000
1945-1949,AFG,LTU,0.000000
1945-1949,AFG,LUX,0.344502
1945-1949,AFG,LVA,0.000000
1945-1949,AFG,MAR,0.000000
1945-1949,AFG,MCO,0.000000
1945-1949,AFG,MDA,0.000000
1945-1949,AFG,MDG,0.000000
1945-1949,AFG,MDV,0.000000
1945-1949,AFG,MEX,0.513294
1945-1949,AFG,MHL,0.000000
1945-1949,AFG,MKD,0.000000
1945-1949,AFG,MLI,0.000000
1945-1949,AFG,MLT,0.000000
1945-1949,AFG,MMR,0.665750
1945-1949,AFG,MNE,0.000000
1945-1949,AFG,MNG,0.000000
1945-1949,AFG,MOZ,0.000000
1945-1949,AFG,MRT,0.000000
1945-1949,AFG,MUS,0.000000
1945-1949,AFG,MWI,0.000000
1945-1949,AFG,MYS,0.000000
1945-1949,AFG,NAM,0.000000
1945-1949,AFG,NER,0.000000
1945-1949,AFG,NGA,0.000000
1945-1949,AFG,NIC,0.303915
1945-1949,AFG,NLD,0.298936
1945-1949,AFG,NOR,0.349428
1945-1949,AFG,NPL,0.000000
1945-1949,AFG,NRU,0.000000
1945-1949,AFG,NZL,0.274352
1945-1949,AFG,OMN,0.000000
1945-1949,AFG,PAK,0.822951
1945-1949,AFG,PAN,0.405220
1945-1949,AFG,PER,0.293948
1945-1949,AFG,PHL,0.474836
1945-1949,AFG,PLW,0.000000
1945-1949,AFG,PNG,0.000000
1945-1949,AFG,POL,-0.065424
1945-1949,AFG,PRK,0.000000
1945-1949,AFG,PRT,0.000000
1945-1949,AFG,PRY,0.196396
1945-1949,AFG,QAT,0.000000
1945-1949,AFG,ROU,0.000000
1945-1949,AFG,RUS,-0.079156
1945-1949,AFG,RWA,0.000000
1945-1949,AFG,SAU,0.523268
1945-1949,AFG,SDN,0.000000
1945-1949,AFG,SEN,0.000000
1945-1949,AFG,SGP,0.000000
1945-1949,AFG,SLB,0.000000
1945-1949,AFG,SLE,0.000000
1945-1949,AFG,SLV,0.242477
1945-1949,AFG,SMR,0.000000
1945-1949,AFG,SOM,0.000000
1945-1949,AFG,SRB,-0.101305
1945-1949,AFG,SSD,0.000000
1945-1949,AFG,STP,0.000000
1945-1949,AFG,SUR,0.000000
1945-1949,AFG,SVK,0.000000
1945-1949,AFG,SVN,0.000000
1945-1949,AFG,SWE,0.305505
1945-1949,AFG,SWZ,0.000000
1945-1949,AFG,SYC,0.000000
1945-1949,AFG,SYR,0.411611
1945-1949,AFG,TCD,0.000000
1945-1949,AFG,TGO,0.000000
1945-1949,AFG,THA,0.605228
1945-1949,AFG,TJK,0.000000
1945-1949,AFG,TKM,0.000000
1945-1949,AFG,TLS,0.000000
1945-1949,AFG,TON,0.000000
1945-1949,AFG,TTO,0.000000
1945-1949,AFG,TUN,0.000000
